commiter, cnt
Esser Michael,2
Syed Anas,2
Peier Jeremias,3
Florian Thiévent,6
Constantea Ramona,8
Villvock Martin,9
Schüpbach Kaspar,10
Iona Isan,11
Spirig Lukas,11
Bandi Yves,13
Ramseier Reto,15
Lorinczi Laszlo,16
Bajkowski Mariusz,20
Niculescu Alin,22
Bröchin Manuel,25
Bossi Valentin,33
Schäfer Christoph,37
Huluta Liviu,49
Schiegg Reto,59
De Filippo Claudio Antonio,62
Deak Attila Robert,66
Ples Petru,88
Buciu Roxana Olimpia,109
Dobrescu Bianca-Maria,116
Varga Attila,139
Rist Evelin,160
Nagy Mátyás,160
Monica Huet,216
Bedo David,289
Kallo-Stefan Helen,294
Tudurean Stefan-Laurentiu,300
Maria Delia Muresan,360
UNKNOWN_OR_SYSTEM,380
Dan-Mircea Mascas,390
Vogt Daniel,559
Stalder Yves,607
Verstoep Arjan,634
